t,x_true,y_true,psi,v,a_cmd,omega_cmd,x_meas,y_meas
56.800000000000004,1.318033902891991,1.1613229571227843,-70.10635852799908,5.0,0.0,-2.8559933214472224,2.1922952624073155,0.9697534684029684
56.900000000000006,1.591826754840149,0.7429481559909594,-70.39195786014382,5.0,0.0,-2.855993321447478,1.9476554785147666,1.8825767229139816
57.0,1.7366592700692844,0.2643841137433181,-70.67755719228857,5.0,0.0,-2.855993321447535,1.3422656006229778,0.21964331151480437
57.1,1.740797979547642,-0.2355987570471259,-70.9631565244333,5.0,0.0,-2.855993321447336,1.037456126958532,0.22490506570847402
57.2,1.6039075896471515,-0.716494817701496,-71.248755856578,5.0,0.0,-2.8559933214470092,1.601982546045022,-0.8578502041548703
57.300000000000004,1.3370781456390821,-1.1393447293845242,-71.53435518872266,5.0,0.0,-2.8559933214466113,0.37999561994984343,-0.9844890782282129
57.400000000000006,0.9619265821812015,-1.4698917070368813,-71.81995452086727,5.0,0.0,-2.855993321446128,0.5286011295062437,-1.675449617164792
57.5,0.5088454478326481,-1.6813568003677384,-72.10555385301184,5.0,0.0,-2.8559933214456734,0.14820035959066363,-0.6167115282826447
57.6,0.014540681521107712,-1.7566083651467745,-72.39115318515637,5.0,0.0,-2.8559933214452755,-1.119952565639245,-1.1779560809758918
57.7,-0.4809420843304876,-1.6895499671338994,-72.67675251730087,5.0,0.0,-2.8559933214449345,-0.2695052167643004,-1.1982391936872958
57.800000000000004,-0.9374617827823184,-1.4856142789244802,-72.96235184944534,5.0,0.0,-2.855993321444707,-1.2818315393720845,-1.3154975750539784
57.900000000000006,-1.3180339028930208,-1.1613229571250137,-73.2479511815898,5.0,0.0,-2.8559933214445365,-1.7318780349392104,-1.3476595199610997
58.0,-1.591826754840791,-0.742948155992935,-73.53355051373426,5.0,0.0,-2.855993321444508,-0.4885508645528158,-1.3346472044331228
58.1,-1.7366592700696186,-0.2643841137452005,-73.81914984587871,5.0,0.0,-2.855993321444508,-2.093890955579401,-1.018246627404424
58.2,-1.7407979795478041,0.23559875704524486,-74.10474917802317,5.0,0.0,-2.8559933214445934,-1.4882124152160592,0.2348834920558264
58.300000000000004,-1.6039075896472779,0.7164948176996049,-74.39034851016764,5.0,0.0,-2.8559933214447355,-2.6275920224128395,1.1493233803447884
58.400000000000006,-1.337078145639273,1.1393447293826737,-74.67594784231213,5.0,0.0,-2.8559933214448776,-1.1732428520491869,1.3330683897101303
58.5,-0.9619265821814995,1.4698917070351523,-74.96154717445663,5.0,0.0,-2.855993321445048,-1.2003008930584966,1.153690797736362
58.6,-0.5088454478330385,1.6813568003662074,-75.24714650660114,5.0,0.0,-2.8559933214451902,-1.3249002095710805,2.3713663911762337
58.7,-0.014540681521535315,1.7566083651454876,-75.53274583874567,5.0,0.0,-2.8559933214453324,-0.7615511899577482,1.5243851642455095
58.800000000000004,0.4809420843300931,1.689549967132857,-75.81834517089021,5.0,0.0,-2.855993321445446,-0.0945477748215805,2.2600409158982293
58.900000000000006,0.937461782782016,1.485614278923644,-76.10394450303477,5.0,0.0,-2.855993321445503,0.7315425290941019,0.4373909501028419
59.0,1.3180339028928372,1.1613229571243169,-76.38954383517932,5.0,0.0,-2.855993321445503,1.611180808053112,0.6277639194503283
59.1,1.5918267548407188,0.7429481559923111,-76.67514316732387,5.0,0.0,-2.8559933214454745,1.7932182537999182,-0.09788108730298828
59.2,1.7366592700696333,0.2643841137446029,-76.96074249946841,5.0,0.0,-2.8559933214454745,2.318798125780459,0.54321126371003
59.300000000000004,1.7407979795478667,-0.2355987570458421,-77.24634183161295,5.0,0.0,-2.855993321445446,1.9618972490870124,-0.3386673378389711
59.400000000000006,1.6039075896473456,-0.7164948177002035,-77.5319411637575,5.0,0.0,-2.8559933214454034,1.5931951078821909,-0.9591930006881624
59.5,1.3370781456393155,-1.1393447293832564,-77.81754049590202,5.0,0.0,-2.8559933214453466,1.6112937656934576,-1.1633478951101734
